,Gene names,Tissue,Pathway,CellularLocation,Enzymename,EnzymeType,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Substrate,Product,Cofactor,Inhibitor,ChebiID,pH,Temperature,KeggReactionID,ReactionEquation,KineticMechanismType
61621,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-(3-amino-1-pyrrolidinylmethanone)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61623,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-(3-amino-1-pyrrolidinylmethanone)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",3e-09,,-,M,Sox-AKT-tide peptide;ATP,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-(3-amino-1-pyrrolidinylmethanone)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61643,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-(1-piperazinylmethanone)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",4.7e-08,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-(1-piperazinylmethanone)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61645,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-(1-piperazinylmethanone)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61665,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-( N-(3-piperidinyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",1.1e-08,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-( N-(3-piperidinyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61667,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-( N-(3-piperidinyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61687,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-(4-piperidinylmethoxy)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",1e-09,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-(4-piperidinylmethoxy)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61689,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-(4-piperidinylmethoxy)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61709,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-( N-(4-piperidinyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",1.3e-08,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-( N-(4-piperidinyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61711,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[1-Ethyl-7-( N-(4-piperidinyl)acetamido)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61729,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[1-Ethyl-7-( N-4-piperidinaminomethyl)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",8e-09,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-( N-4-piperidinaminomethyl)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61731,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,"4-[1-Ethyl-7-( N-4-piperidinaminomethyl)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61742,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-{7-[(3-Aminopropyl)oxy]-1-ethyl-4-phenyl-1H-imidazo[4,5-c]pyridin-2-yl}-1,2,5-oxadiazol-3-amine",1e-06,,-,M,Sox-AKT-tide peptide;ATP,phosphorylated Sox-AKT-tide peptide;ADP,,"4-{7-[(3-Aminopropyl)oxy]-1-ethyl-4-phenyl-1H-imidazo[4,5-c]pyridin-2-yl}-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61744,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,phosphorylated Sox-AKT-tide peptide;ADP,,"4-{7-[(3-Aminopropyl)oxy]-1-ethyl-4-phenyl-1H-imidazo[4,5-c]pyridin-2-yl}-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61778,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[7-[(3-Aminopropyl)oxy]-1-ethyl-4-(3-furanyl)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",1.62e-07,,-,M,ATP;Sox-AKT-tide peptide,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[7-[(3-Aminopropyl)oxy]-1-ethyl-4-(3-furanyl)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61780,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,ATP;Sox-AKT-tide peptide,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[7-[(3-Aminopropyl)oxy]-1-ethyl-4-(3-furanyl)-1H-imidazo[4,5-c]pyridin-2-yl]-1,2,5-oxadiazol-3-amine",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61838,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-{2-(4-Amino-1,2,5-oxadiazol-3-yl)-7-[(3-aminopropyl)oxy]-1-ethyl-1H-imidazo[4,5-c]pyridin-4-yl}-2-methyl-3-butyn-2-ol",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61840,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-{2-(4-Amino-1,2,5-oxadiazol-3-yl)-7-[(3-aminopropyl)oxy]-1-ethyl-1H-imidazo[4,5-c]pyridin-4-yl}-2-methyl-3-butyn-2-ol",1.585e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-{2-(4-Amino-1,2,5-oxadiazol-3-yl)-7-[(3-aminopropyl)oxy]-1-ethyl-1H-imidazo[4,5-c]pyridin-4-yl}-2-methyl-3-butyn-2-ol",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61917,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[7-[(4-Aminobutyl)oxy]-2-(4-amino-1,2,5-oxadiazol-3-yl)-1-ethyl-1H-imidazo[4,5-c]pyridin-4-yl]-2-methyl-3-butyn-2-ol",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
61919,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-[7-[(4-Aminobutyl)oxy]-2-(4-amino-1,2,5-oxadiazol-3-yl)-1-ethyl-1H-imidazo[4,5-c]pyridin-4-yl]-2-methyl-3-butyn-2-ol",1.58e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-[7-[(4-Aminobutyl)oxy]-2-(4-amino-1,2,5-oxadiazol-3-yl)-1-ethyl-1H-imidazo[4,5-c]pyridin-4-yl]-2-methyl-3-butyn-2-ol",16761;30616;15422,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62005,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-{2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-[(3-pyrrolidinyl-methyl)oxy]-1H-imidazo[4,5-c]pyridin-4-yl}-2-methyl-3-butyn-2-ol",1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-{2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-[(3-pyrrolidinyl-methyl)oxy]-1H-imidazo[4,5-c]pyridin-4-yl}-2-methyl-3-butyn-2-ol",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62007,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-{2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-[(3-pyrrolidinyl-methyl)oxy]-1H-imidazo[4,5-c]pyridin-4-yl}-2-methyl-3-butyn-2-ol",30616;15422;16761,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62053,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,GSK690693,16761;15422;30616,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62055,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,GSK690693,7.94e-06,,-,M,ATP;Sox-AKT-tide peptide,phosphorylated Sox-AKT-tide peptide;ADP,,GSK690693,16761;15422;30616,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62098,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[3-({2-[4-(methyloxy)phenyl]ethyl}amino)propyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol",16761;15422;30616,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62100,RPS6KA5,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",non-specific serine/threonine protein kinase,wildtype MSK1,IC50,"4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[3-({2-[4-(methyloxy)phenyl]ethyl}amino)propyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol",1.99e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,"4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[3-({2-[4-(methyloxy)phenyl]ethyl}amino)propyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol",16761;15422;30616,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62142,PRKCB,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",protein kinase C,wildtype PKC-beta1,IC50,GSK690693,1.8999999999999998e-08,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,GSK690693,16761;15422;30616,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
62145,PRKCB,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",protein kinase C,wildtype PKC-beta1,concentration,Sox-AKT-tide peptide,1e-05,,-,M,Sox-AKT-tide peptide;ATP,ADP;phosphorylated Sox-AKT-tide peptide,,GSK690693,16761;15422;30616,7.5,-,,ATP + Sox-AKT-tide peptide = ADP + phosphorylated Sox-AKT-tide peptide,Inhibition
67193,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Km,ADP,0.00024,,3.0E-5,M,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,44897;18021;16761;15422;30616;15361;32816,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67198,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Hill coefficient,ADP,1.0,,-,-,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,44897;18021;16761;15422;30616;15361;32816,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67203,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,"Fructose 1,6-bisphosphate",0.002,,-,M,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,44897;18021;16761;15422;30616;15361;32816,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67208,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,ADP,0.0,0.005,-,M,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,44897;18021;16761;15422;30616;15361;32816,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67213,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,Phosphoenolpyruvate,0.005,,-,M,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,44897;18021;16761;15422;30616;15361;32816,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67218,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Vmax,,0.0035667380000000007,,1.0000200000000001E-4,katal*g^(-1),ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,44897;18021;16761;15422;30616;15361;32816,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67223,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Hill coefficient,ADP,1.0,,-,-,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,,16761;15422;30616;15361;32816;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67228,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,ADP,0.0,0.005,-,M,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,,16761;15422;30616;15361;32816;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67233,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Vmax,,0.004216751,,1.0000200000000001E-4,katal*g^(-1),Phosphoenolpyruvate;ADP,Pyruvate;ATP,,,16761;15422;30616;15361;32816;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67238,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,Phosphoenolpyruvate,0.005,,-,M,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,,16761;15422;30616;15361;32816;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67243,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Km,ADP,0.00034,,2.0E-5,M,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,,16761;15422;30616;15361;32816;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67248,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,ADP,0.005,,-,M,ADP;Phosphoenolpyruvate,ATP;Pyruvate,,,15422;30616;15361;32816;16761;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67253,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Hill coefficient,Phosphoenolpyruvate,1.0,,-,-,ADP;Phosphoenolpyruvate,ATP;Pyruvate,,,15422;30616;15361;32816;16761;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67258,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Km,Phosphoenolpyruvate,0.00017,,1.0E-5,M,ADP;Phosphoenolpyruvate,ATP;Pyruvate,,,15422;30616;15361;32816;16761;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67263,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,"Fructose 1,6-bisphosphate",0.002,,-,M,ADP;Phosphoenolpyruvate,ATP;Pyruvate,,,15422;30616;15361;32816;16761;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67268,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,Phosphoenolpyruvate,0.0,0.005,-,M,ADP;Phosphoenolpyruvate,ATP;Pyruvate,,,15422;30616;15361;32816;16761;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67273,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Vmax,,0.003633406000000001,,6.6668E-5,katal*g^(-1),ADP;Phosphoenolpyruvate,ATP;Pyruvate,,,15422;30616;15361;32816;16761;44897;18021,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Michaelis-Menten
67278,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,ADP,0.005,,-,M,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,15422;30616;44897;18021;15361;32816;16761,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Hill Cooperativity
67283,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Hill coefficient,Phosphoenolpyruvate,1.6,,0.1,-,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,15422;30616;44897;18021;15361;32816;16761,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Hill Cooperativity
67288,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Km,Phosphoenolpyruvate,0.0021000000000000003,,7.0E-4,M,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,15422;30616;44897;18021;15361;32816;16761,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Hill Cooperativity
67293,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Vmax,,0.00516677,,6.166790000000001E-4,katal*g^(-1),ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,15422;30616;44897;18021;15361;32816;16761,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Hill Cooperativity
67298,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,Phosphoenolpyruvate,0.0,0.005,-,M,ADP;Phosphoenolpyruvate,Pyruvate;ATP,,,15422;30616;44897;18021;15361;32816;16761,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Hill Cooperativity
67303,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,Phosphoenolpyruvate,0.0,0.005,-,M,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,Oxalate,15422;30616;44897;18021;16761;15361;32816;16995;30623,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Competitive inhibition
67308,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Ki,Oxalate,0.00022,,6.0E-5,M,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,Oxalate,15422;30616;44897;18021;16761;15361;32816;16995;30623,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Competitive inhibition
67313,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,ADP,0.005,,-,M,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,Oxalate,15422;30616;44897;18021;16761;15361;32816;16995;30623,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Competitive inhibition
67318,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,Vmax,,0.004750095,,-,katal*g^(-1),Phosphoenolpyruvate;ADP,Pyruvate;ATP,,Oxalate,15422;30616;44897;18021;16761;15361;32816;16995;30623,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Competitive inhibition
67323,PKM,-,Pyruvate metabolism,"[unknown, unknown, unknown, unknown, unknown, unknown]",pyruvate kinase,wildtype His6-tagged,concentration,Oxalate,0.0,0.0016,-,M,Phosphoenolpyruvate;ADP,Pyruvate;ATP,,Oxalate,15422;30616;44897;18021;16761;15361;32816;16995;30623,8.0,32.0,R00200,ATP + Pyruvate = ADP + Phosphoenolpyruvate,Competitive inhibition
